Year,Team,Medal,Count
2021,Croatia,Bronze,2
2021,North Macedonia,Silver,1
2021,Lithuania,Silver,1
2021,Saudi Arabia,Silver,1
2021,Bahrain,Silver,1
2021,Nigeria,Silver,1
2021,Malaysia,Silver,1
2021,Jordan,Silver,1
2021,San Marino,Silver,1
2021,Argentina,Silver,1
2021,Mongolia,Silver,1
2021,Kyrgyzstan,Silver,2
2021,Armenia,Silver,2
2021,Dominican Republic,Silver,3
2021,Azerbaijan,Silver,3
2021,Colombia,Silver,4
2021,Puerto Rico,Silver,0
2021,Morocco,Silver,0
2021,Bermuda,Silver,0
2021,Thailand,Silver,0
2021,Latvia,Silver,0
2021,Fiji,Silver,0
2021,Estonia,Silver,0
2021,Tunisia,Silver,1
2021,Portugal,Silver,1
2021,Ethiopia,Silver,1
2021,Namibia,Silver,1
2021,Turkmenistan,Silver,1
2021,Kazakhstan,Silver,0
2021,Mexico,Silver,0
2021,Denmark,Bronze,4
2021,Switzerland,Bronze,6
2021,Sweden,Bronze,0
2021,Spain,Bronze,6
2021,Jamaica,Bronze,4
2021,Norway,Bronze,2
2021,Kenya,Bronze,2
2021,Switzerland,Gold,3
2021,Poland,Bronze,5
2021,Republic of Korea,Bronze,10
2021,Hungary,Bronze,7
2021,Cuba,Bronze,5
2021,Egypt,Silver,1
2021,New Zealand,Bronze,7
2021,Canada,Bronze,11
2021,Italy,Bronze,20
2021,Germany,Bronze,16
2021,France,Bronze,11
2021,Netherlands,Bronze,14
2021,Australia,Bronze,22
2021,ROC,Bronze,23
2021,Great Britain,Bronze,22
2021,Japan,Bronze,17
2021,People's Republic of China,Bronze,18
2021,United States,Bronze,33
2021,Finland,Silver,0
2021,Brazil,Bronze,8
2021,Sweden,Gold,3
2021,Finland,Bronze,2
2021,Jamaica,Gold,4
2021,Spain,Gold,3
2021,Mexico,Bronze,4
2021,United States,Gold,39
2021,People's Republic of China,Gold,38
2021,Japan,Gold,27
2021,Great Britain,Gold,22
2021,Australia,Gold,17
2021,Netherlands,Gold,10
2021,France,Gold,10
2021,Germany,Gold,10
2021,ROC,Gold,20
2021,Canada,Gold,7
2021,Brazil,Gold,7
2021,New Zealand,Gold,7
2021,Cuba,Gold,7
2021,Hungary,Gold,6
2021,Republic of Korea,Gold,6
2021,Poland,Gold,4
2021,Czech Republic,Gold,4
2021,Kenya,Gold,4
2021,Italy,Gold,10
2021,Norway,Gold,4
2024,Ecuador,Gold Medal,1
2024,Ecuador,Silver Medal,2
2024,Egypt,Bronze Medal,1
2024,Egypt,Gold Medal,1
2024,France,Bronze Medal,22
2024,Ethiopia,Gold Medal,1
2024,Ethiopia,Silver Medal,3
2024,Fiji,Silver Medal,1
2024,Ecuador,Bronze Medal,2
2024,Egypt,Silver Medal,1
2024,EOR,Bronze Medal,1
2024,Czechia,Gold Medal,3
2024,Dominican Republic,Bronze Medal,2
2024,Dominica,Gold Medal,1
2024,Denmark,Silver Medal,2
2024,Denmark,Gold Medal,2
2024,Denmark,Bronze Medal,5
2024,DPR Korea,Silver Medal,2
2024,DPR Korea,Bronze Medal,4
2024,Côte d'Ivoire,Bronze Medal,1
2024,France,Gold Medal,16
2024,Czechia,Bronze Medal,2
2024,Dominican Republic,Gold Medal,1
2024,France,Silver Medal,26
2024,Greece,Gold Medal,1
2024,Georgia,Gold Medal,3
2024,India,Bronze Medal,5
2024,IR Iran,Silver Medal,6
2024,IR Iran,Gold Medal,3
2024,IR Iran,Bronze Medal,3
2024,Hungary,Silver Medal,7
2024,Hungary,Gold Medal,6
2024,Hungary,Bronze Medal,6
2024,"Hong Kong, China",Gold Medal,2
2024,"Hong Kong, China",Bronze Medal,2
2024,Guatemala,Gold Medal,1
2024,Georgia,Bronze Medal,1
2024,Guatemala,Bronze Medal,1
2024,Greece,Silver Medal,1
2024,Cyprus,Silver Medal,1
2024,Greece,Bronze Medal,6
2024,Great Britain,Silver Medal,22
2024,Great Britain,Gold Medal,14
2024,Great Britain,Bronze Medal,29
2024,Germany,Silver Medal,13
2024,Germany,Gold Medal,12
2024,Germany,Bronze Medal,8
2024,Georgia,Silver Medal,3
2024,Grenada,Bronze Medal,2
2024,Cuba,Silver Medal,1
2024,China,Gold Medal,40
2024,Cuba,Bronze Medal,6
2024,Bahrain,Silver Medal,1
2024,Bahrain,Gold Medal,2
2024,Bahrain,Bronze Medal,1
2024,Azerbaijan,Silver Medal,2
2024,Azerbaijan,Gold Medal,2
2024,Azerbaijan,Bronze Medal,3
2024,Austria,Gold Medal,2
2024,Austria,Bronze Medal,3
2024,Australia,Silver Medal,19
2024,Australia,Gold Medal,18
2024,Belgium,Bronze Medal,6
2024,Australia,Bronze Medal,16
2024,Armenia,Bronze Medal,1
2024,Argentina,Silver Medal,1
2024,Argentina,Gold Medal,1
2024,Argentina,Bronze Medal,1
2024,Algeria,Gold Medal,2
2024,Algeria,Bronze Medal,1
2024,Albania,Bronze Medal,2
2024,AIN,Silver Medal,3
2024,AIN,Gold Medal,1
2024,AIN,Bronze Medal,1
2024,Armenia,Silver Medal,3
2024,Belgium,Gold Medal,3
2024,Belgium,Silver Medal,1
2024,Botswana,Gold Medal,1
2024,Croatia,Silver Medal,2
2024,Croatia,Gold Medal,2
2024,Croatia,Bronze Medal,3
2024,Colombia,Silver Medal,3
2024,Colombia,Bronze Medal,1
2024,Chinese Taipei,Gold Medal,2
2024,Chinese Taipei,Bronze Medal,5
2024,China,Silver Medal,27
2024,India,Silver Medal,1
2024,China,Bronze Medal,24
2024,Chile,Silver Medal,1
2024,Chile,Gold Medal,1
2024,Canada,Silver Medal,7
2024,Canada,Gold Medal,9
2024,Canada,Bronze Medal,11
2024,Cabo Verde,Bronze Medal,1
2024,Bulgaria,Silver Medal,1
2024,Bulgaria,Gold Medal,3
2024,Bulgaria,Bronze Medal,3
2024,Brazil,Silver Medal,7
2024,Brazil,Gold Medal,3
2024,Brazil,Bronze Medal,10
2024,Botswana,Silver Medal,1
2024,Cuba,Gold Medal,2
2024,Indonesia,Bronze Medal,1
2024,Jamaica,Gold Medal,1
2024,Ireland,Bronze Medal,3
2024,Spain,Silver Medal,4
2024,Spain,Bronze Medal,9
2024,South Africa,Silver Medal,3
2024,South Africa,Gold Medal,1
2024,South Africa,Bronze Medal,2
2024,Slovenia,Silver Medal,1
2024,Slovenia,Gold Medal,2
2024,Slovakia,Bronze Medal,1
2024,Singapore,Bronze Medal,1
2024,Serbia,Silver Medal,1
2024,Sweden,Bronze Medal,3
2024,Serbia,Gold Medal,3
2024,Saint Lucia,Silver Medal,1
2024,Saint Lucia,Gold Medal,1
2024,Romania,Silver Medal,4
2024,Romania,Gold Medal,3
2024,Romania,Bronze Medal,2
2024,Republic of Moldova,Silver Medal,1
2024,Republic of Moldova,Bronze Medal,3
2024,Qatar,Bronze Medal,1
2024,Puerto Rico,Bronze Medal,2
2024,Portugal,Silver Medal,2
2024,Serbia,Bronze Medal,1
2024,Sweden,Gold Medal,4
2024,Sweden,Silver Medal,4
2024,Switzerland,Bronze Medal,5
2024,Zambia,Bronze Medal,1
2024,Uzbekistan,Silver Medal,2
2024,Uzbekistan,Gold Medal,8
2024,Uzbekistan,Bronze Medal,3
2024,United States,Silver Medal,44
2024,United States,Gold Medal,40
2024,United States,Bronze Medal,42
2024,Ukraine,Silver Medal,5
2024,Ukraine,Gold Medal,3
2024,Ukraine,Bronze Medal,4
2024,Uganda,Silver Medal,1
2024,Uganda,Gold Medal,1
2024,Türkiye,Silver Medal,3
2024,Türkiye,Bronze Medal,5
2024,Tunisia,Silver Medal,1
2024,Tunisia,Gold Medal,1
2024,Tunisia,Bronze Medal,1
2024,Thailand,Silver Medal,3
2024,Thailand,Gold Medal,1
2024,Thailand,Bronze Medal,2
2024,Tajikistan,Bronze Medal,3
2024,Switzerland,Silver Medal,2
2024,Switzerland,Gold Medal,1
2024,Portugal,Gold Medal,1
2024,Indonesia,Gold Medal,2
2024,Portugal,Bronze Medal,1
2024,Poland,Gold Medal,1
2024,Korea,Silver Medal,9
2024,Korea,Gold Medal,13
2024,Korea,Bronze Medal,10
2024,Kenya,Silver Medal,2
2024,Kenya,Gold Medal,4
2024,Kenya,Bronze Medal,5
2024,Kazakhstan,Silver Medal,3
2024,Kazakhstan,Gold Medal,1
2024,Kazakhstan,Bronze Medal,3
2024,Jordan,Silver Medal,1
2024,Kosovo,Bronze Medal,1
2024,Japan,Silver Medal,12
2024,Japan,Bronze Medal,13
2024,Jamaica,Silver Medal,3
2024,Jamaica,Bronze Medal,2
2024,Italy,Silver Medal,13
2024,Italy,Gold Medal,12
2024,Italy,Bronze Medal,15
2024,Israel,Silver Medal,5
2024,Israel,Gold Medal,1
2024,Israel,Bronze Medal,1
2024,Ireland,Gold Medal,4
2024,Japan,Gold Medal,20
2024,Kosovo,Silver Medal,1
2024,Kyrgyzstan,Bronze Medal,4
2024,Kyrgyzstan,Silver Medal,2
2024,Poland,Bronze Medal,5
2024,Philippines,Gold Medal,2
2024,Philippines,Bronze Medal,2
2024,Peru,Bronze Medal,1
2024,Panama,Silver Medal,1
2024,Pakistan,Gold Medal,1
2024,Norway,Silver Medal,1
2024,Norway,Gold Medal,4
2024,Norway,Bronze Medal,3
2024,New Zealand,Silver Medal,7
2024,New Zealand,Gold Medal,10
2024,New Zealand,Bronze Medal,3
2024,Netherlands,Silver Medal,7
2024,Netherlands,Gold Medal,15
2024,Netherlands,Bronze Medal,12
2024,Morocco,Gold Medal,1
2024,Morocco,Bronze Medal,1
2024,Mongolia,Silver Medal,1
2024,Mexico,Silver Medal,3
2024,Mexico,Bronze Medal,2
2024,Malaysia,Bronze Medal,2
2024,Lithuania,Silver Medal,2
2024,Lithuania,Bronze Medal,2
2024,Poland,Silver Medal,4
2024,Spain,Gold Medal,5
