Year,Team,Score
1908,Finland,10
1908,France,38
1908,Germany,29
1908,Great Britain,307
1908,Great Britain-1,22
1908,Great Britain-2,8
1908,Great Britain-3,2
1908,Greece,7
1908,Guyoni,1
1908,Gyrinus-1,10
1908,Hera-1,5
1908,Heroine,5
1908,Hungary,25
1908,Hurlingham-2,2
1908,Ireland-2,2
1908,Ireland-3,2
1908,Italy,14
1908,K Division Metropolitan Police Team-3,1
1908,Leander Club #1-1,5
1908,Leander Club #2-2,2
1908,Leander Club-1,5
1908,Leander Club-2,2
1908,Liverpool Police Team-2,2
1908,London City Police-1,5
1908,Magdalen College Boat Club-1,5
1908,Mouchette-2,2
1908,Netherlands,1
1908,Norway,19
1908,Roehampton-1,5
1908,Royal Club Nautique de Gand,2
1908,Russia,9
1908,Scotland-3,1
1908,Sorais-2,1
1908,South Africa,7
1908,Sweden,61
1908,Toronto Argonauts,1
1908,United States,146
1908,Vinga-1,2
1908,Wales-4,1
1908,Zut,2
1912,Australasia,17
1912,Austria,6
1912,Belgium,15
1912,Berliner Ruderverein von 1876-2,1
1912,Canada,22
1912,Denmark,14
1912,England,2
1912,England-1,2
1912,Erna Signe,2
1912,Finland,66
1912,France,43
1912,Gallia II,1
1912,Germany,57
1912,Great Britain,75
1912,Great Britain-1,2
1912,Great Britain-2,6
1912,Greece,6
1912,Heatherbell,1
1912,Hungary,22
1912,Italy,29
1912,Kerstin-1,1
1912,Kitty-1,5
1912,Kristiania Roklub-1,1
1912,Leander Club-1,5
1912,Lucky Girl-1,1
1912,Ludwigshafener Ruderverein,5
1912,Mac Miche,5
1912,Magda IX,5
1912,Netherlands,3
1912,"New College, Oxford-2",2
1912,Nina,2
1912,Norway,15
1912,Nurdug II,2
1912,Nykjbings paa Falster,5
1912,Ormsund Roklub-2,1
1912,Polyteknisk Roklub-1,1
1912,Roddklubben af 1912-1,2
1912,Russia,6
1912,Sans Atout-1,2
1912,South Africa,24
1912,Sweden,168
1912,Sweden-1,2
1912,Sweden-2,2
1912,Sweden-3,1
1912,Switzerland,5
1912,Taifun,5
1912,Thames Rowing Club,2
1912,United States,185
1920,Ancora,5
1920,Antwerpia V,1
1920,Atlanta,5
1920,Australia,5
1920,Beatrijs III-1,5
1920,Belgium,110
1920,Boreas-2,2
1920,Brazil,8
1920,Canada,24
1920,Czechoslovakia,2
1920,Denmark,34
1920,Edelweiss II-1,5
1920,Eleda,5
1920,Elsie,2
1920,Estonia,9
1920,Finland,104
1920,Fornebo,2
1920,France,90
1920,France-3,6
1920,Great Britain,102
1920,Great Britain-1,1
1920,Great Britain-2,5
1920,Great Britain-3,2
1920,Greece,2
1920,Heira II,5
1920,Irene,5
1920,Italy,87
1920,Japan,4
1920,Jo,5
1920,Kullan,5
1920,Luxembourg,2
1920,Lyn-2,2
1920,Marmi II-1,2
1920,Mosk II,5
1920,Netherlands,17
1920,New Zealand,1
1920,Norway,52
1920,Oranje,5
1920,Rose Pompon,2
1920,Sif,5
1920,Sildra-1,5
1920,South Africa,26
1920,Spain,4
1920,Stella-2,1
1920,Sweden,148
1920,Switzerland,21
1920,Tan-Fe-Pah,2
1920,United States,286
1924,Argentina,13
1924,Australia,19
1924,Austria,7
1924,Belgium,32
1924,Bera,5
1924,Bonzo,2
1924,Canada,7
1924,Czechoslovakia,18
1924,Denmark,23
1924,Elisabeth V,5
1924,Emily,2
1924,Estonia,11
1924,Finland,106
1924,France,106
1924,France-1,2
1924,France-2,1
1924,Great Britain,80
1924,Great Britain-1,1
1924,Great Britain-2,2
1924,Greece,5
1924,Haiti,1
1924,Hungary,22
1924,Ireland,3
1924,Italy,51
1924,Japan,1
1924,Luxembourg,7
1924,Monaco,1
1924,Namoussa,1
1924,Netherlands,27
1924,New Zealand,1
1924,Norway,22
1924,Poland,3
1924,Portugal,1
1924,Romania,1
1924,South Africa,8
1924,Sweden,58
1924,Switzerland,61
1924,United States,289
1924,United States-1,10
1924,United States-2,7
1924,Uruguay,5
1924,Willem-Six,1
1924,Yugoslavia,10
1928,Argentina,22
1928,Australia,10
1928,Austria,16
1928,Belgium,4
1928,Canada,35
1928,Chile,2
1928,Czechoslovakia,22
1928,Denmark,21
1928,Egypt,13
1928,Estonia,13
1928,Finland,65
1928,France,60
1928,Germany,92
1928,Great Britain,49
1928,Haiti,2
1928,Hi-Hi,2
1928,Hollandia,2
1928,Hungary,35
1928,India,5
1928,Ireland,5
1928,Italy,54
1928,Japan,15
1928,L'Aile VI,5
1928,Luxembourg,5
1928,Netherlands,63
1928,New Zealand,5
1928,Norna,5
1928,Norway,5
1928,Philippines,1
1928,Poland,16
1928,Portugal,1
1928,South Africa,7
1928,Spain,5
1928,Sweden,58
1928,Switzerland,51
1928,Sylvia,1
1928,Tutti V,1
1928,United States,162
1928,Uruguay,5
1928,Yugoslavia,10
1932,Angelita,5
1932,Argentina,17
1932,Australia,18
1932,Austria,10
1932,Belgium,1
1932,Bissbi,5
1932,Canada,26
1932,Caprice,1
1932,Czechoslovakia,13
1932,Denmark,13
1932,Finland,53
1932,France,69
1932,Gallant,2
1932,Germany,56
1932,Great Britain,42
1932,Hungary,45
1932,India,5
1932,Ireland,10
1932,Italy,96
1932,Japan,53
1932,Joy,2
1932,Jupiter,5
1932,Latvia,2
1932,Mexico,4
1932,Netherlands,21
1932,New Zealand,2
1932,Philippines,3
1932,Poland,23
1932,Santa Maria,2
1932,South Africa,13
1932,Spain,1
1932,Sweden,63
1932,Swedish Star,1
1932,Switzerland,2
1932,United States,310
1932,Uruguay,1
1936,Argentina,17
1936,Australia,1
1936,Austria,44
1936,Belgium,3
1936,Bem II,1
1936,Canada,16
1936,Czechoslovakia,26
1936,Denmark,7
1936,Egypt,14
1936,Estonia,17
1936,Finland,58
1936,France,53
1936,Germania II,1
1936,Germany,276
1936,Great Britain,31
1936,Hungary,57
1936,India,5
1936,Italia,5
1936,Italy,71
1936,Japan,48
1936,Lalage,5
1936,Latvia,3
1936,Lully II,2
1936,May Be,1
1936,Mexico,3
1936,Netherlands,39
1936,New Zealand,5
1936,Norway,9
1936,Nrnberg,5
1936,Philippines,1
1936,Poland,13
1936,Portugal,1
1936,Potsdam,1
1936,Romania,2
1936,Rostock,2
1936,Silja,2
1936,South Africa,2
1936,Sunshine,2
1936,Sweden,47
1936,Switzerland,43
1936,Turkey,6
1936,United States,174
1936,Wannsee,5
1936,Yugoslavia,2
1948,Ali-Baba II,1
1948,Argentina,20
1948,Australia,27
1948,Austria,18
1948,Belgium,17
1948,Brazil,1
1948,Canada,6
1948,Czechoslovakia,37
1948,Denmark,49
1948,Djinn,2
1948,Egypt,15
1948,Finland,62
1948,France,82
1948,Great Britain,54
1948,Hilarius,5
1948,Hungary,72
1948,India,5
1948,Iran,1
1948,Ireland,1
1948,Italy,79
1948,Jamaica,9
1948,Kurush II,2
1948,Llanoria,5
1948,Margaret,1
1948,Mexico,14
1948,Netherlands,37
1948,Norway,9
1948,Pan,5
1948,Panama,2
1948,Peru,5
1948,Poland,6
1948,Portugal,1
1948,Puerto Rico,1
1948,Slaghoken,2
1948,Snap,1
1948,South Africa,16
1948,South Korea,2
1948,Spain,2
1948,Sri Lanka,2
1948,Starita,1
1948,Sweden,122
1948,Swift,5
1948,Switzerland,54
1948,Symphony,2
1948,Trinidad and Tobago,2
1948,Turkey,40
1948,United States,252
1948,Uruguay,3
1948,Yugoslavia,4
1952,Argentina,11
1952,Australia,37
1952,Austria,3
1952,Belgium,14
1952,Brazil,7
1952,Bulgaria,1
1952,Canada,9
1952,Chile,4
1952,Comanche,2
1952,Complex II,5
1952,Czechoslovakia,44
1952,Denmark,15
1952,Egypt,1
1952,Elisabeth X,2
1952,Encore,2
1952,Espadarte,1
1952,Finland,48
1952,France,48
1952,Germany,30
1952,Great Britain,17
1952,Gustel X,1
1952,Hojwa,1
1952,Hungary,116
1952,India,6
1952,Iran,10
1952,Ireland,2
1952,Italy,57
1952,Jamaica,16
1952,Japan,18
1952,Lebanon,3
1952,Llanoria,5
1952,Luxembourg,5
1952,Merope,5
1952,Mexico,2
1952,Netherlands,10
1952,New Zealand,7
1952,Norway,10
1952,Pan,5
1952,Poland,10
1952,Ralia,1
1952,Romania,9
1952,South Africa,22
1952,South Korea,2
1952,Soviet Union,187
1952,Spain,2
1952,Sweden,93
1952,Switzerland,28
1952,Tornado,2
1952,Trinidad and Tobago,2
1952,Turkey,11
1952,United States,243
1952,Uruguay,2
1952,Venezuela,1
1952,Yugoslavia,9
1956,Argentina,3
1956,Australia,92
1956,Austria,2
1956,Belgium,4
1956,Bluebottle,1
1956,Brazil,5
1956,Bulgaria,12
1956,Buraddoo,1
1956,Canada,15
1956,Chile,6
1956,Chuckles,1
1956,Czechoslovakia,14
1956,Denmark,8
1956,Falcon IV,2
1956,Finland,28
1956,France,34
1956,Gem IV,1
1956,Germany,63
1956,Great Britain,51
1956,Greece,1
1956,Hungary,72
1956,Iceland,2
1956,India,5
1956,Iran,15
1956,Ireland,10
1956,Italy,63
1956,Japan,43
1956,Jest,5
1956,Kathleen,5
1956,Merope III,2
1956,Mexico,6
1956,New Zealand,5
1956,Norway,7
1956,Pakistan,2
1956,Poland,17
1956,Romania,36
1956,Rush V,5
1956,Slaghoken II,5
1956,South Africa,4
1956,South Korea,3
1956,Soviet Union,275
1956,Sweden,46
1956,Switzerland,1
1956,Tip,2
1956,Turkey,21
1956,United States,222
1956,Uruguay,1
1956,Vision,2
1956,Yugoslavia,6
1960,Argentina,1
1960,Australia,62
1960,Austria,7
1960,Ballerina IV,1
1960,Belgium,6
1960,Brazil,2
1960,Bulgaria,14
1960,Canada,2
1960,Chinese Taipei,2
1960,Czechoslovakia,22
1960,Denmark,13
1960,Ethiopia,5
1960,Finland,10
1960,France,7
1960,Germany,108
1960,Ghana,2
1960,Great Britain,34
1960,Hungary,53
1960,India,2
1960,Iran,5
1960,Iraq,1
1960,Italy,97
1960,Japan,41
1960,Ma'Lindo,2
1960,Macky VI,1
1960,Mexico,1
1960,Minotaur,5
1960,Morocco,2
1960,Netherlands,4
1960,New Zealand,11
1960,Nirefs,5
1960,Pakistan,6
1960,Poland,43
1960,Romania,23
1960,Shrew II,1
1960,Singapore,2
1960,Sirene,5
1960,Skum,2
1960,South Africa,4
1960,Soviet Union,299
1960,Spain,1
1960,Sweden,12
1960,Switzerland,8
1960,Tango,2
1960,Tornado,5
1960,Turkey,39
1960,United Arab Republic,3
1960,United States,222
1960,Venezuela,1
1960,Venilia,1
1960,Web II,2
1960,West Indies Federation,2
1960,Yugoslavia,7
1964,Aphrodite,1
1964,Argentina,2
1964,Australia,39
1964,Barrenjoey,5
1964,Belgium,11
1964,Bingo,1
1964,Brazil,1
1964,Bulgaria,27
1964,Canada,10
1964,Cuba,2
1964,Czechoslovakia,40
1964,Denmark,10
1964,Ethiopia,5
1964,Finland,17
1964,France,27
1964,Gem,5
1964,Germany,110
1964,Ghana,1
1964,Glider,2
1964,Great Britain,44
1964,Humbug V,1
1964,Hungary,69
1964,India,5
1964,Iran,2
1964,Ireland,1
1964,Italy,77
1964,Japan,98
1964,Kenya,1
1964,Lady C,2
1964,Mexico,1
1964,Mutafo,2
1964,Netherlands,22
1964,New Zealand,12
1964,Nigeria,1
1964,Pakistan,2
1964,Pandora,5
1964,Philippines,2
1964,Poland,57
1964,Romania,24
1964,Rush VII,2
1964,South Korea,5
1964,Soviet Union,243
1964,Sweden,15
1964,Switzerland,10
1964,Trinidad and Tobago,4
1964,Tunisia,3
1964,Turkey,17
1964,United States,255
1964,Uruguay,1
1964,White Lady,5
1964,Widgeon,1
1964,Yugoslavia,14
1968,Argentina,2
1968,Australia,44
1968,Austria,6
1968,Belgium,3
1968,Brazil,4
1968,Bulgaria,21
1968,Cameroon,2
1968,Canada,12
1968,Chinese Taipei,1
1968,Cuba,8
1968,Czechoslovakia,43
1968,Denmark,16
1968,East Germany,70
1968,Ethiopia,7
1968,Finland,10
1968,France,46
1968,Great Britain,38
1968,Greece,1
1968,Hungary,82
1968,India,1
1968,Iran,14
1968,Italy,32
1968,Jamaica,2
1968,Japan,76
1968,Kenya,25
1968,Mexico,24
1968,Mongolia,5
1968,Netherlands,22
1968,New Zealand,7
1968,Norway,7
1968,Pakistan,5
1968,Poland,40
1968,Romania,37
1968,South Korea,3
1968,Soviet Union,239
1968,Sweden,13
1968,Switzerland,6
1968,Tunisia,6
1968,Turkey,10
1968,Uganda,3
1968,United States,315
1968,Venezuela,5
1968,West Germany,57
1968,Yugoslavia,23
1972,Argentina,2
1972,Australia,56
1972,Austria,4
1972,Belgium,4
1972,Brazil,2
1972,Bulgaria,55
1972,Canada,7
1972,Colombia,4
1972,Cuba,21
1972,Czechoslovakia,20
1972,Denmark,5
1972,East Germany,164
1972,East Germany-1,5
1972,Ethiopia,2
1972,Finland,21
1972,France,25
1972,Ghana,1
1972,Great Britain,39
1972,Greece,4
1972,Hungary,72
1972,India,1
1972,Iran,5
1972,Italy,41
1972,Jamaica,1
1972,Japan,89
1972,Kenya,20
1972,Lebanon,2
1972,Mexico,2
1972,Mongolia,2
1972,Netherlands,18
1972,New Zealand,8
1972,Niger,1
1972,Nigeria,1
1972,North Korea,10
1972,Norway,13
1972,Pakistan,2
1972,Poland,54
1972,Romania,34
1972,South Korea,2
1972,Soviet Union,326
1972,Spain,1
1972,Sweden,38
1972,Switzerland,6
1972,Tunisia,2
1972,Turkey,2
1972,Uganda,7
1972,United States,257
1972,West Germany,101
1972,West Germany-1,2
1972,Yugoslavia,14
1976,Australia,6
1976,Austria,1
1976,Belgium,9
1976,Bermuda,1
1976,Brazil,2
1976,Bulgaria,55
1976,Canada,16
1976,Cuba,41
1976,Czechoslovakia,18
1976,Denmark,7
1976,East Germany,275
1976,Finland,24
1976,France,20
1976,Great Britain,30
1976,Hungary,43
1976,Iran,3
1976,Italy,28
1976,Jamaica,7
1976,Japan,67
1976,Mexico,6
1976,Mongolia,2
1976,Netherlands,7
1976,New Zealand,13
1976,North Korea,7
1976,Norway,7
1976,Pakistan,1
1976,Poland,60
1976,Portugal,4
1976,Puerto Rico,1
1976,Romania,52
1976,South Korea,11
1976,Soviet Union,362
1976,Spain,4
1976,Sweden,22
1976,Switzerland,9
1976,Thailand,1
1976,Trinidad and Tobago,5
1976,United States,265
1976,Venezuela,2
1976,West Germany,91
1976,Yugoslavia,19
1980,Australia,19
1980,Austria,10
1980,Belgium,5
1980,Brazil,12
1980,Bulgaria,89
1980,Cuba,59
1980,Czechoslovakia,25
1980,Denmark,14
1980,East Germany,351
1980,Ethiopia,12
1980,Finland,21
1980,France,43
1980,Great Britain,48
1980,Greece,7
1980,Guyana,1
1980,Hungary,70
1980,India,5
1980,Ireland,3
1980,Italy,50
1980,Jamaica,3
1980,Lebanon,1
1980,Mexico,5
1980,Mongolia,6
1980,Netherlands,4
1980,North Korea,8
1980,Poland,58
1980,Romania,55
1980,Soviet Union,584
1980,Spain,13
1980,Sweden,27
1980,Switzerland,10
1980,Tanzania,4
1980,Uganda,2
1980,Venezuela,2
1980,Yugoslavia,20
1980,Zimbabwe,5
1984,Algeria,2
1984,Australia,48
1984,Austria,8
1984,Belgium,9
1984,Brazil,17
1984,Cameroon,1
1984,Canada,102
1984,China,100
1984,Chinese Taipei,1
1984,Colombia,2
1984,Cote d'Ivoire,2
1984,Denmark,9
1984,Dominican Republic,1
1984,Egypt,2
1984,Finland,30
1984,France,55
1984,Great Britain,68
1984,Greece,3
1984,Iceland,1
1984,Ireland,2
1984,Italy,94
1984,Jamaica,4
1984,Japan,78
1984,Kenya,7
1984,Mexico,17
1984,Morocco,10
1984,Netherlands,35
1984,New Zealand,44
1984,Nigeria,3
1984,Norway,4
1984,Pakistan,5
1984,Peru,2
1984,Portugal,7
1984,Puerto Rico,3
1984,Romania,144
1984,South Korea,49
1984,Spain,11
1984,Sweden,38
1984,Switzerland,12
1984,Syria,2
1984,Thailand,2
1984,Turkey,3
1984,United States,562
1984,Venezuela,3
1984,West Germany,146
1984,Yugoslavia,50
1984,Zambia,1
1988,Argentina,3
1988,Australia,32
1988,Austria,5
1988,Belgium,2
1988,Brazil,12
1988,Bulgaria,87
1988,Canada,24
1988,Chile,2
1988,China,54
1988,China-1,5
1988,Colombia,1
1988,Costa Rica,2
1988,Czechoslovakia,23
1988,Denmark,13
1988,Djibouti,1
1988,East Germany,285
1988,Finland,9
1988,France,44
1988,Great Britain,54
1988,Greece,1
1988,Hungary,73
1988,Indonesia,2
1988,Iran,2
1988,Italy,42
1988,Jamaica,4
1988,Japan,33
1988,Kenya,31
1988,Mexico,2
1988,Mongolia,1
1988,Morocco,7
1988,Netherlands,19
1988,Netherlands Antilles,2
1988,New Zealand,27
1988,Norway,16
1988,Pakistan,1
1988,Peru,2
1988,Philippines,1
1988,Poland,29
1988,Portugal,5
1988,Romania,63
1988,Senegal,2
1988,South Korea,90
1988,South Korea-2,1
1988,Soviet Union,378
1988,Spain,9
1988,Suriname,5
1988,Sweden,15
1988,Switzerland,6
1988,Thailand,1
1988,Turkey,7
1988,United States,269
1988,United States Virgin Islands,2
1988,West Germany,98
1988,Yugoslavia,28
1992,Algeria,6
1992,Argentina,1
1992,Australia,64
1992,Austria,4
1992,Bahamas,1
1992,Belgium,4
1992,Brazil,12
1992,Bulgaria,35
1992,Canada,50
1992,China,123
1992,China-1,9
1992,China-2,7
1992,Chinese Taipei,2
1992,Colombia,1
1992,Croatia,4
1992,Cuba,93
1992,Czechoslovakia,23
1992,Czechoslovakia-1,2
1992,Denmark,11
1992,Estonia,6
1992,Ethiopia,7
1992,Finland,11
1992,France,65
1992,France-1,1
1992,Germany,235
1992,Ghana,1
1992,Great Britain,43
1992,Greece,10
1992,Hungary,86
1992,Individual Olympic Athletes,4
1992,Indonesia,13
1992,Indonesia-1,2
1992,Iran,4
1992,Ireland,7
1992,Israel,3
1992,Italy,48
1992,Jamaica,7
1992,Japan,42
1992,Kenya,20
1992,Latvia,5
1992,Lithuania,6
1992,Malaysia-2,1
1992,Mexico,2
1992,Mongolia,2
1992,Morocco,8
1992,Namibia,4
1992,Netherlands,29
1992,New Zealand,18
1992,Nigeria,7
1992,North Korea,24
1992,North Korea-1,1
1992,Norway,19
1992,Pakistan,1
1992,Peru,2
1992,Philippines,1
1992,Poland,37
1992,Puerto Rico,1
1992,Qatar,1
1992,Romania,40
1992,Slovenia,2
1992,South Africa,4
1992,South Korea,68
1992,South Korea-1,8
1992,South Korea-2,6
1992,Spain,81
1992,Suriname,1
1992,Sweden,23
1992,Switzerland,5
1992,Thailand,1
1992,Turkey,16
1992,Unified Team,330
1992,United States,285
1992,United States-1,5
1996,Algeria,11
1996,Argentina,5
1996,Armenia,7
1996,Australia,85
1996,Australia-1,1
1996,Austria,4
1996,Azerbaijan,2
1996,Bahamas,2
1996,Belarus,25
1996,Belgium,16
1996,Brazil,23
1996,Brazil-1,5
1996,Brazil-2,2
1996,Bulgaria,34
1996,Burundi,5
1996,Canada,44
1996,Canada-1,1
1996,China,116
1996,China-1,7
1996,China-2,13
1996,Chinese Taipei,2
1996,Costa Rica,5
1996,Croatia,7
1996,Cuba,69
1996,Czech Republic,28
1996,Czech Republic-1,2
1996,Denmark,23
1996,Ecuador,5
1996,Ethiopia,11
1996,Finland,10
1996,France,99
1996,France-1,5
1996,Georgia,2
1996,Germany,162
1996,Germany-1,1
1996,Great Britain,27
1996,Greece,28
1996,Hong Kong,5
1996,Hungary,53
1996,India,1
1996,Indonesia,8
1996,Indonesia-1,1
1996,Iran,8
1996,Ireland,16
1996,Israel,1
1996,Italy,97
1996,Jamaica,13
1996,Japan,32
1996,Kazakhstan,27
1996,Kenya,16
1996,Latvia,2
1996,Lithuania,1
1996,Malaysia,1
1996,Malaysia-1,2
1996,Mexico,1
1996,Moldova,3
1996,Mongolia,1
1996,Morocco,2
1996,Mozambique,1
1996,Namibia,4
1996,Netherlands,40
1996,New Zealand,20
1996,Nigeria,15
1996,North Korea,14
1996,Norway,17
1996,Philippines,2
1996,Poland,50
1996,Portugal,6
1996,Puerto Rico,1
1996,Romania,42
1996,Russia,188
1996,Serbia and Montenegro,9
1996,Slovakia,8
1996,Slovenia,4
1996,South Africa,18
1996,South Korea,59
1996,South Korea-1,6
1996,South Korea-2,5
1996,Spain,43
1996,Sweden,20
1996,Switzerland,26
1996,Syria,5
1996,Thailand,6
1996,Tonga,2
1996,Trinidad and Tobago,2
1996,Tunisia,1
1996,Turkey,23
1996,Uganda,1
1996,Ukraine,61
1996,United States,302
1996,United States-1,5
1996,United States-2,2
1996,Uzbekistan,3
1996,Zambia,2
2000,Algeria,10
2000,Argentina,6
2000,Armenia,1
2000,Australia,142
2000,Australia-1,5
2000,Austria,12
2000,Azerbaijan,11
2000,Bahamas,11
2000,Barbados,1
2000,Belarus,32
2000,Belgium,7
2000,Brazil,13
2000,Brazil-1,4
2000,Brazil-2,1
2000,Bulgaria,39
2000,Cameroon,5
2000,Canada,29
2000,Chile,1
2000,China,161
2000,China-1,8
2000,China-2,17
2000,Chinese Taipei,6
2000,Colombia,5
2000,Costa Rica,2
2000,Croatia,6
2000,Cuba,84
2000,Czech Republic,18
2000,Czech Republic-1,1
2000,Denmark,17
2000,Estonia,7
2000,Ethiopia,25
2000,Finland,13
2000,France,103
2000,France-1,1
2000,Georgia,6
2000,Germany,124
2000,Germany-1,1
2000,Great Britain,81
2000,Great Britain-2,1
2000,Greece,35
2000,Hungary,55
2000,Iceland,1
2000,India,1
2000,Indonesia,11
2000,Indonesia-1,2
2000,Iran,16
2000,Ireland,2
2000,Israel,1
2000,Italy,94
2000,Jamaica,15
2000,Japan,46
2000,Kazakhstan,23
2000,Kenya,18
2000,Kuwait,1
2000,Kyrgyzstan,1
2000,Latvia,8
2000,Lithuania,13
2000,Macedonia,1
2000,Mexico,12
2000,Moldova,3
2000,Morocco,6
2000,Mozambique,5
2000,Netherlands,82
2000,New Zealand,8
2000,Nigeria,9
2000,North Korea,5
2000,Norway,29
2000,Poland,41
2000,Poland-1,2
2000,Portugal,2
2000,Qatar,1
2000,Romania,76
2000,Russia,245
2000,Saudi Arabia,3
2000,Serbia and Montenegro,8
2000,Slovakia,12
2000,Slovenia,10
2000,South Africa,7
2000,South Korea,66
